"ref","company","company_location","review_date","country_of_bean_origin","specific_bean_origin_or_bar_name","cocoa_percent","rating","counts_of_ingredients","beans","cocoa_butter","vanilla","lecithin","salt","sugar","sweetener_without_sugar","first_taste","second_taste","third_taste","fourth_taste"
1534,"Arete","U.S.A",2015,"Peru","Nacional",68,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","floral","nutty","rich cocoa",""
1598,"Arete","U.S.A",2015,"Dominican republic","Oko Caribe",70,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","spicy","brownie","nutty",""
1602,"Arete","U.S.A",2015,"Ecuador","Camino Verde",75,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","intense","floral","bourbon",""
1602,"Arete","U.S.A",2015,"Guatemala","Guatemala",70,3.25,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","strawberry","butterscotch","off",""
1602,"Arete","U.S.A",2015,"Brazil","Fazenda Camboa",75,2.75,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","floral","chemical off","",""
1908,"Arete","U.S.A",2016,"Costa rica","Coto Brus, Terciopelo",70,4,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","balanced","cherry","choco",""
1924,"Arete","U.S.A",2016,"Peru","Phantom",70,4,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","complex","balanced",""
1724,"Arete","U.S.A",2016,"Tanzania","Kokoa Kamili",70,3.75,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","appealing smoke","woody","",""
1904,"Arete","U.S.A",2016,"Nicaragua","Rugoso",70,3.75,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","muddy","rich cocoa","raspberry",""
1928,"Arete","U.S.A",2016,"Dominican republic","Elvesia",70,3.75,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","dark berry","chocolatey","",""
1724,"Arete","U.S.A",2016,"Trinidad","San Juan",70,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","delicate","simple","",""
1900,"Arete","U.S.A",2016,"Vietnam","Tien Giang",73,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","cashew","roasty","chunky melt",""
1904,"Arete","U.S.A",2016,"Guatemala","Lachua",70,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","subtle","mysterious","",""
1908,"Arete","U.S.A",2016,"Honduras","La Masica, FHIA",70,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","nutty","green","",""
1904,"Arete","U.S.A",2016,"Ecuador","Hacienda Victoria",70,3.25,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sticky","floral","roasty",""
1904,"Arete","U.S.A",2016,"Ecuador","Costa Esmeraldas",70,3.25,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","chewy","mild floral","",""
1928,"Arete","U.S.A",2016,"Fiji","Matasawalevu",70,3.25,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","smoke","hammy","cocoa base",""
1928,"Arete","U.S.A",2016,"Vietnam","Lam Dong",73,3.25,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","earthy","nutty","cardboard",""
2024,"Arete","U.S.A",2017,"Bolivia","Beniano",70,4,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","bright fruit","",""
2028,"Arete","U.S.A",2017,"Haiti","Pisa",70,4,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","long lasting","cocoa","",""
2020,"Arete","U.S.A",2017,"India","Anamalai",70,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","slight roasty","basic cocoa","",""
2020,"Arete","U.S.A",2017,"Madagascar","Sambirano Valley",70,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sour fruit","","",""
2020,"Arete","U.S.A",2017,"Vietnam","Ben Tre",73,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","rich cocoa","mild roasty","",""
2028,"Arete","U.S.A",2017,"Peru","Ucayali",70,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","dried fruit","fig","anise",""
2254,"Arete","U.S.A",2018,"Colombia","Tumaco",70,4,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","smooth","nutty","cocoa",""
2068,"Arete","U.S.A",2018,"Trinidad","Ramnath E.",70,3,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","nuts","dried fruit","short",""
2330,"Arete","U.S.A",2019,"India","Jangareddygudem",70,3.25,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","herbs","mushroom","acidic",""
2450,"Arete","U.S.A",2019,"India","Idukki",70,3,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","burn butterscotch","rubbery","",""
48,"Bonnat","France",2006,"Venezuela","Maracaibo, El Rosario",75,4,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","fatty","floral",""
81,"Bonnat","France",2006,"Venezuela","Chuao",75,4,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","coconut","tang",""
24,"Bonnat","France",2006,"Blend","Carribean, Trinite",75,3.75,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","spice","woodsy","long lasting",""
32,"Bonnat","France",2006,"Venezuela","Ocumare, Puerto Cabello",75,3.75,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sandy","creamy","berry",""
75,"Bonnat","France",2006,"Madagascar","Madagascar",75,3.75,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","mellow","tart","coffee",""
81,"Bonnat","France",2006,"Sri lanka","Ceylan",75,3,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","vegetal","dominant tobacco","",""
123,"Bonnat","France",2007,"Ecuador","Equateur",75,2.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","dry","floral","bitter",""
199,"Bonnat","France",2008,"Venezuela","Porcelana, Venezuela",75,4,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","strawberry","nutty",""
331,"Bonnat","France",2009,"Ivory coast","Ivory Coast",75,3,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","oily","intense cocoa","sl. Burnt",""
336,"Bonnat","France",2009,"Mexico","Porcelana, Tabasco, Marfil de Blanco",75,3,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","mild bitter","nut","possible mold",""
395,"Bonnat","France",2009,"Mexico","Xoconusco, cacao Real",75,3,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","fatty","roasty","earthy",""
336,"Bonnat","France",2009,"Peru","Porcelana, Apotequil",75,2.75,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","flat","bread","earthy",""
629,"Bonnat","France",2011,"Haiti","Haiti",75,4,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","grassy","black pepper","",""
629,"Bonnat","France",2011,"Madagascar","Madagascar, 100% criollo",75,4,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","fatty","spicy","gentle roast",""
629,"Bonnat","France",2011,"Brazil","Libanio",75,3.75,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","chunky","very grassy","mild mint",""
629,"Bonnat","France",2011,"Cuba","Cuba",75,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","fatty","raisin","grape",""
629,"Bonnat","France",2011,"Peru","Cusco, Cacao Cusco",75,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","roasty","woody","mint",""
629,"Bonnat","France",2011,"Peru","Piura Blanco",75,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","cocoa","smokey",""
672,"Bonnat","France",2011,"Brazil","Juliana",75,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","oily","fatty","rich","nutty"
761,"Bonnat","France",2011,"Jamaica","Jamaique",75,3.25,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","oily","creamy","woody",""
1038,"Bonnat","France",2013,"Brazil","Maragnam",75,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","oily","roasted nuts","rich cocoa",""
1042,"Bonnat","France",2013,"Gabon","Gabon",75,3.25,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","fatty","roasty","black pepper",""
1339,"Bonnat","France",2014,"Brazil","Kaori",75,4,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","homey","nutty",""
1418,"Bonnat","France",2014,"Blend","Surfin, Venez,Africa,Brasil,Peru,Mex",65,3.75,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","complex","brownie","mint","spice"
1418,"Bonnat","France",2014,"Dominican republic","Los Colorados, Santo Domingo, Equateur",75,3.25,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","roasty","tobacco","earthy",""
1912,"Bonnat","France",2016,"Mexico","Selva Maya",75,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","heavy roast","fatty","gateway",""
2246,"Bonnat","France",2018,"Peru","Madre de Dios",75,4,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","oily","subtle","mild coffee",""
2250,"Bonnat","France",2018,"Blend","El Rosario, Xoconuzco, Cusco, Sambirano",75,4,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","rich","complex",""
87,"Domori","Italy",2006,"Venezuela","Carenero Superior",70,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","basic cocoa","",""
87,"Domori","Italy",2006,"Peru","Apurimac",70,3.25,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","floral","olive","",""
87,"Domori","Italy",2006,"Venezuela","Sur del Lago Classificado",70,3,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","long lasting","fruit","",""
111,"Domori","Italy",2007,"Venezuela","Porcelana",70,4,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","complex","coffee",""
192,"Domori","Italy",2007,"Ecuador","Ecuador",70,4,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","nuts","woody","cocoa"
192,"Domori","Italy",2007,"Venezuela","Ocumare 67, Puertofino",70,4,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","mint","tobacco","olive"
192,"Domori","Italy",2007,"Indonesia","Java, Javablond",70,3.75,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","smokey","tobacco",""
135,"Domori","Italy",2007,"Madagascar","Madagascar",70,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","fruity","basic cocoa","",""
192,"Domori","Italy",2007,"Madagascar","Madagared",70,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","smooth","banana","cocoa",""
129,"Domori","Italy",2007,"Venezuela","Ocumare 61, Puertomar",75,3.25,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sticky","smoke","ham","earthy"
135,"Domori","Italy",2007,"Venezuela","Granella",60,3.25,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","mild spice","licorice","",""
272,"Domori","Italy",2008,"Blend","Ilblend",70,3.75,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sticky","olive","",""
272,"Domori","Italy",2008,"Blend","Blend No. 1",78,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sticky","grassy","coffee",""
227,"Domori","Italy",2008,"Venezuela","Carupano, H. San Jose",70,3,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","cucumber","hot spices","",""
272,"Domori","Italy",2008,"Colombia","Teyuna",70,3,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","woody","earthy",""
470,"Domori","Italy",2010,"Venezuela","Chuao, Hacienda San Jose",70,3,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","subtle","caramel","sour milk",""
693,"Domori","Italy",2011,"Venezuela","Canoabo, Hacienda San Jose",70,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","smooth","intense","smoke","nut"
863,"Domori","Italy",2012,"Venezuela","Guasare",70,3.75,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","coffee","caramel",""
863,"Domori","Italy",2012,"Tanzania","Morogoro",70,3.5,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sticky","nutty","",""
1672,"Domori","Italy",2015,"Ecuador","Hacienda Victoria",70,3.75,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","floral","well developed","creamy",""
1672,"Domori","Italy",2015,"Venezuela","Ocumare 77",70,3.75,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","nutty","strawberry","creamy",""
2040,"Domori","Italy",2018,"Tanzania","Tanzania",70,4,"2","have_bean","have_not_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","sticky","fruit",""
370,"Fresco","U.S.A",2009,"Venezuela","Carenero Superior, #203, MR, SC",65,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","complex","mild licorice","spice",""
370,"Fresco","U.S.A",2009,"Jamaica","Jamaica, #205, DR, MC",70,3.25,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","roasty","tobacco",""
370,"Fresco","U.S.A",2009,"Jamaica","Jamaica, #206, DR, LC",70,3,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","creamy","simple","nutty",""
370,"Fresco","U.S.A",2009,"Jamaica","Jamaica, #204, DR, SC",80,2.75,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","slightly burnt","earthy","",""
745,"Fresco","U.S.A",2011,"Venezuela","Chuao, #217, DR, MC, batch 11-021",70,4,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","tart","roasted cocoa","",""
642,"Fresco","U.S.A",2011,"Dominican republic","Conacado, #212, LR, SC",72,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","red berry","some roasty notes","",""
642,"Fresco","U.S.A",2011,"Jamaica","Jamaica, #210, DR, MC",70,3.5,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","woody","grassy","long",""
642,"Fresco","U.S.A",2011,"Jamaica","Jamaica, #209, DR, SC",70,3.25,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","grassy","brownie","astringent",""
682,"Fresco","U.S.A",2011,"Dominican republic","Conacado, #213, DR, -C",72,3.25,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","spicy","cocoa","",""
745,"Fresco","U.S.A",2011,"Venezuela","Chuao, #218, MR, MC, batch 11-020",76,3.25,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","bready","nutty","earthy","intense"
688,"Fresco","U.S.A",2011,"Madagascar","Sambirano Valley, #215, MR, MC",74,3,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","sandy","cocoa","red fruit",""
636,"Fresco","U.S.A",2011,"Ghana","Ghana, #211, MR, MC",74,2.75,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","mild bitter","mild cocoa","roasty",""
682,"Fresco","U.S.A",2011,"Madagascar","Sambirano Valley, #214, LR, MC",74,2.75,"3","have_bean","have_cocoa_butter","have_not_vanila","have_not_lecithin","have_not_salt","have_sugar","have_not_sweetener_without_sugar","woody","red fruit","sour",""
